iter	Passed	Remaining
0	120	120493
1	122	61109
2	124	41350
3	125	31331
4	128	25474
5	129	21486
6	131	18617
7	132	16482
8	134	14840
9	136	13493
10	137	12390
11	139	11486
12	141	10716
13	142	10052
14	144	9499
15	146	9016
16	148	8559
17	149	8152
18	152	7854
19	153	7535
20	155	7250
21	157	6990
22	159	6767
23	161	6549
24	162	6340
25	164	6152
26	165	5972
27	167	5804
28	168	5644
29	170	5515
30	172	5385
31	173	5255
32	175	5136
33	177	5044
34	179	4938
35	181	4848
36	182	4757
37	184	4668
38	186	4588
39	188	4513
40	189	4434
41	191	4359
42	192	4294
43	194	4233
44	196	4169
45	198	4111
46	200	4058
47	202	4010
48	203	3958
49	205	3913
50	207	3864
51	209	3817
52	210	3766
53	212	3722
54	214	3680
55	215	3640
56	217	3604
57	219	3567
58	221	3531
59	223	3494
60	225	3464
61	226	3430
62	228	3398
63	230	3366
64	231	3335
65	233	3302
66	234	3269
67	236	3242
68	238	3215
69	239	3185
70	241	3154
71	242	3127
72	244	3102
73	245	3075
74	247	3049
75	248	3023
76	250	3002
77	251	2978
78	253	2953
79	254	2929
80	256	2909
81	258	2889
82	258	2859
83	260	2837
84	262	2822
85	263	2803
86	265	2783
87	266	2762
88	268	2744
89	269	2726
90	270	2706
91	272	2689
92	274	2672
93	275	2656
94	276	2638
95	278	2623
96	280	2607
97	281	2592
98	283	2576
99	284	2560
100	286	2546
101	287	2533
102	289	2519
103	290	2504
104	292	2491
105	294	2481
106	295	2466
107	296	2452
108	298	2438
109	300	2427
110	301	2414
111	302	2401
112	304	2388
113	306	2378
114	307	2367
115	309	2356
116	310	2341
117	311	2330
118	313	2320
119	314	2308
120	316	2296
121	317	2284
122	319	2276
123	320	2265
124	322	2254
125	323	2243
126	324	2232
127	326	2223
128	327	2213
129	329	2202
130	330	2194
131	332	2185
132	333	2175
133	335	2165
134	336	2159
135	338	2150
136	339	2141
137	341	2132
138	343	2125
139	344	2116
140	346	2108
141	346	2096
142	348	2087
143	349	2080
144	351	2071
145	352	2063
146	354	2054
147	355	2047
148	357	2040
149	358	2032
150	360	2024
151	361	2017
152	363	2009
153	364	2001
154	365	1993
155	367	1986
156	368	1980
157	370	1973
158	371	1967
159	373	1959
160	374	1951
161	375	1944
162	377	1937
163	378	1931
164	380	1926
165	382	1921
166	383	1913
167	385	1907
168	386	1901
169	388	1896
170	389	1889
171	391	1883
172	393	1879
173	394	1874
174	396	1867
175	397	1861
176	399	1855
177	400	1849
178	401	1843
179	403	1837
180	404	1832
181	406	1827
182	408	1822
183	409	1816
184	411	1812
185	413	1808
186	414	1802
187	416	1796
188	417	1791
189	419	1786
190	420	1782
191	422	1776
192	423	1771
193	425	1766
194	426	1761
195	428	1755
196	429	1750
197	431	1746
198	432	1741
199	434	1736
200	435	1732
201	437	1729
202	439	1724
203	440	1719
204	442	1715
205	444	1711
206	445	1707
207	447	1703
208	449	1700
209	451	1697
210	452	1693
211	454	1689
212	456	1685
213	457	1681
214	459	1677
215	460	1673
216	462	1669
217	464	1665
218	466	1661
219	467	1658
220	469	1654
221	470	1650
222	472	1646
223	474	1643
224	475	1639
225	477	1634
226	478	1630
227	480	1627
228	482	1623
229	483	1618
230	485	1615
231	487	1612
232	488	1608
233	490	1604
234	491	1600
235	493	1597
236	494	1593
237	496	1588
238	497	1584
239	499	1581
240	501	1578
241	502	1574
242	504	1570
243	506	1568
244	507	1565
245	509	1561
246	512	1561
247	514	1560
248	517	1559
249	519	1557
250	521	1555
251	523	1554
252	525	1552
253	527	1549
254	529	1547
255	531	1545
256	533	1543
257	535	1541
258	538	1539
259	539	1536
260	541	1533
261	543	1531
262	545	1528
263	547	1525
264	549	1523
265	551	1521
266	553	1518
267	555	1515
268	557	1513
269	559	1511
270	561	1509
271	563	1508
272	565	1506
273	567	1504
274	570	1503
275	572	1501
276	574	1499
277	576	1496
278	578	1494
279	580	1492
280	582	1490
281	584	1487
282	586	1485
283	588	1483
284	590	1481
285	592	1479
286	594	1477
287	596	1474
288	599	1473
