iter	Passed	Remaining
0	113	113348
1	114	57223
2	115	38537
3	117	29149
4	117	23467
5	119	19737
6	120	17066
7	121	15086
8	122	13526
9	123	12250
10	124	11208
11	126	10375
12	127	9662
13	128	9032
14	129	8481
15	130	7995
16	130	7564
17	131	7195
18	133	6872
19	134	6572
20	134	6293
21	136	6046
22	136	5817
23	138	5618
24	139	5435
25	140	5272
26	141	5113
27	142	4962
28	144	4828
29	145	4701
30	146	4572
31	147	4458
32	148	4344
33	149	4242
34	150	4150
35	151	4062
36	152	3973
37	153	3891
38	154	3809
39	155	3738
40	157	3676
41	158	3608
42	159	3545
43	160	3479
44	161	3423
45	162	3373
46	163	3316
47	164	3263
48	165	3215
49	166	3166
50	167	3125
51	169	3083
52	170	3038
53	171	2998
54	172	2958
55	173	2920
56	174	2885
57	175	2849
58	176	2814
59	177	2779
60	178	2746
61	179	2716
62	180	2690
63	181	2660
64	182	2628
65	183	2598
66	184	2570
67	185	2543
68	186	2521
69	187	2496
70	188	2470
71	189	2445
72	190	2419
73	191	2396
74	192	2376
75	193	2354
76	194	2333
77	195	2310
78	196	2290
79	197	2270
80	198	2252
81	199	2237
82	200	2214
83	201	2196
84	202	2178
85	203	2159
86	204	2143
87	205	2128
88	206	2111
89	207	2096
90	208	2081
91	209	2064
92	210	2050
93	211	2038
94	212	2025
95	213	2011
96	214	1997
97	215	1982
98	216	1969
99	217	1959
100	218	1946
101	219	1934
102	220	1922
103	221	1909
104	222	1898
105	223	1887
106	224	1875
107	225	1862
108	226	1851
109	227	1839
110	228	1828
111	229	1820
112	230	1810
113	231	1798
114	232	1788
115	233	1779
116	234	1767
117	235	1760
118	236	1752
119	237	1744
120	238	1735
121	239	1725
122	240	1718
123	242	1716
124	244	1711
125	245	1703
126	246	1693
127	247	1688
128	249	1683
129	250	1675
130	251	1668
131	252	1660
132	253	1653
133	254	1646
134	255	1639
135	256	1632
136	257	1623
137	258	1615
138	259	1609
139	260	1602
140	261	1596
141	262	1587
142	263	1580
143	264	1572
144	265	1566
145	266	1561
146	267	1554
147	268	1548
148	269	1541
149	270	1534
150	271	1528
151	273	1523
152	274	1517
153	274	1510
154	275	1503
155	276	1497
156	277	1492
157	279	1487
158	279	1480
159	280	1474
160	281	1467
161	282	1461
162	283	1454
163	284	1449
164	285	1444
165	286	1439
166	287	1434
167	288	1428
168	289	1423
169	290	1419
170	291	1414
171	292	1410
172	293	1405
173	294	1400
174	295	1394
175	296	1389
176	298	1385
177	298	1380
178	299	1375
179	300	1369
180	301	1364
181	302	1360
182	304	1357
183	305	1352
184	305	1347
185	306	1343
186	307	1338
187	308	1334
188	310	1330
189	311	1326
190	312	1321
191	312	1317
192	313	1312
193	314	1307
194	315	1303
195	316	1300
196	318	1296
197	318	1292
198	319	1287
199	320	1282
200	321	1278
201	322	1275
202	323	1271
203	324	1267
204	325	1263
205	326	1258
206	327	1254
207	328	1250
208	329	1247
209	330	1243
210	331	1239
211	332	1234
212	333	1231
213	334	1227
214	335	1223
215	336	1220
216	337	1216
217	337	1212
218	338	1207
219	339	1203
220	340	1201
221	341	1197
222	342	1194
223	343	1190
224	344	1186
225	345	1182
226	346	1179
227	347	1175
228	348	1172
229	349	1169
230	350	1165
231	350	1161
232	351	1157
233	352	1154
234	353	1151
235	354	1147
236	355	1144
237	356	1140
238	357	1137
239	357	1133
240	358	1130
241	359	1127
